num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency,tie_frequency
45,4,0.8325,0.8325,0.0,0.0,0.0,0.0,0.0
46,4,0.7856,0.913,0.1241,0.0033,0.0,0.0,0.1181
47,4,0.8284,0.8284,0.0,0.0,0.0,0.0,0.0
48,4,0.7809,0.9119,0.1291,0.0019,0.0,0.0,0.1142
49,4,0.8218,0.8218,0.0,0.0,0.0,0.0,0.0
50,4,0.7902,0.9121,0.1195,0.0024,0.0,0.0,0.1119
51,4,0.8304,0.8304,0.0,0.0,0.0,0.0,0.0
52,4,0.7898,0.9158,0.1235,0.0025,0.0,0.0,0.1107
53,4,0.8279,0.8279,0.0,0.0,0.0,0.0,0.0
54,4,0.7886,0.907,0.1158,0.0026,0.0,0.0,0.1078
55,4,0.8329,0.8329,0.0,0.0,0.0,0.0,0.0
56,4,0.787,0.9094,0.1205,0.0019,0.0,0.0,0.1072
57,4,0.8329,0.8329,0.0,0.0,0.0,0.0,0.0
58,4,0.7929,0.9081,0.1128,0.0024,0.0,0.0,0.106
59,4,0.8228,0.8228,0.0,0.0,0.0,0.0,0.0
60,4,0.7941,0.9056,0.11,0.0015,0.0,0.0,0.102
61,4,0.8213,0.8213,0.0,0.0,0.0,0.0,0.0
62,4,0.7896,0.9015,0.1099,0.002,0.0,0.0,0.1014
63,4,0.8234,0.8234,0.0,0.0,0.0,0.0,0.0
64,4,0.7921,0.9046,0.1104,0.0021,0.0,0.0,0.1004
65,4,0.8282,0.8282,0.0,0.0,0.0,0.0,0.0
66,4,0.7892,0.898,0.1072,0.0016,0.0,0.0,0.0976
67,4,0.8313,0.8313,0.0,0.0,0.0,0.0,0.0
68,4,0.7955,0.8971,0.0994,0.0022,0.0,0.0,0.0966
69,4,0.8258,0.8258,0.0,0.0,0.0,0.0,0.0
70,4,0.8035,0.9001,0.0948,0.0018,0.0,0.0,0.0941
71,4,0.8301,0.8301,0.0,0.0,0.0,0.0,0.0
72,4,0.7989,0.8951,0.095,0.0012,0.0,0.0,0.0934
73,4,0.8269,0.8269,0.0,0.0,0.0,0.0,0.0
74,4,0.798,0.8933,0.0936,0.0017,0.0,0.0,0.0919
75,4,0.827,0.827,0.0,0.0,0.0,0.0,0.0
76,4,0.8016,0.901,0.0985,0.0009,0.0,0.0,0.0916
77,4,0.8216,0.8216,0.0,0.0,0.0,0.0,0.0
78,4,0.7996,0.8925,0.0922,0.0007,0.0,0.0,0.09
79,4,0.8263,0.8263,0.0,0.0,0.0,0.0,0.0
80,4,0.7991,0.8917,0.0913,0.0013,0.0,0.0,0.0885
81,4,0.8252,0.8252,0.0,0.0,0.0,0.0,0.0
82,4,0.8039,0.8935,0.0888,0.0008,0.0,0.0,0.088
83,4,0.8222,0.8222,0.0,0.0,0.0,0.0,0.0
84,4,0.8031,0.894,0.0895,0.0014,0.0,0.0,0.0888
85,4,0.8249,0.8249,0.0,0.0,0.0,0.0,0.0
86,4,0.8037,0.8946,0.0896,0.0013,0.0,0.0,0.0849
87,4,0.8291,0.8291,0.0,0.0,0.0,0.0,0.0
88,4,0.8046,0.8936,0.0881,0.0009,0.0,0.0,0.0857
89,4,0.8238,0.8238,0.0,0.0,0.0,0.0,0.0
90,4,0.7975,0.8894,0.0909,0.001,0.0,0.0,0.0832
91,4,0.8267,0.8267,0.0,0.0,0.0,0.0,0.0
92,4,0.8043,0.8891,0.0841,0.0007,0.0,0.0,0.083
93,4,0.8286,0.8286,0.0,0.0,0.0,0.0,0.0
94,4,0.7994,0.8848,0.0848,0.0006,0.0,0.0,0.0805
95,4,0.8285,0.8285,0.0,0.0,0.0,0.0,0.0
96,4,0.8016,0.886,0.0829,0.0015,0.0,0.0,0.0802
97,4,0.8256,0.8256,0.0,0.0,0.0,0.0,0.0
98,4,0.8094,0.8878,0.0777,0.0007,0.0,0.0,0.0792
99,4,0.8276,0.8276,0.0,0.0,0.0,0.0,0.0
100,4,0.807,0.8913,0.0833,0.001,0.0,0.0,0.0802
5,5,0.8014,0.8014,0.0,0.0,0.0,0.0,0.0
6,5,0.5119,0.9884,0.4022,0.0698,0.0044,0.0001,0.3121
7,5,0.7852,0.7852,0.0,0.0,0.0,0.0,0.0
8,5,0.5797,0.9725,0.3491,0.0422,0.0015,0.0,0.2727
9,5,0.7708,0.7708,0.0,0.0,0.0,0.0,0.0
10,5,0.6172,0.962,0.3101,0.0339,0.0008,0.0,0.2473
11,5,0.7676,0.7676,0.0,0.0,0.0,0.0,0.0
