num_voters,num_alternatives,identical_winners_frequency,same_number_of_winners_frequency
70,5,0.4825,0.9389
71,5,0.4775,0.9438
72,5,0.4754,0.9423
73,5,0.4772,0.9416
74,5,0.4751,0.9418
75,5,0.4756,0.943
76,5,0.4753,0.9422
77,5,0.4802,0.9432
78,5,0.4815,0.9417
79,5,0.4844,0.9499
80,5,0.481,0.9469
81,5,0.4809,0.9465
82,5,0.4773,0.9447
83,5,0.4805,0.9493
84,5,0.4866,0.9425
85,5,0.4738,0.9456
86,5,0.4871,0.9468
87,5,0.4805,0.9529
88,5,0.4783,0.9474
89,5,0.4821,0.9524
90,5,0.4803,0.9479
91,5,0.4843,0.9465
92,5,0.4735,0.9502
93,5,0.4871,0.9521
94,5,0.4888,0.9496
95,5,0.4774,0.9503
96,5,0.47,0.9499
97,5,0.4796,0.9527
98,5,0.4821,0.9592
99,5,0.4783,0.9535
100,5,0.4733,0.9478
