num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency
62,3,0.967,1.0,0.033,0.0,0.0,0.0
63,3,0.9515,1.0,0.0373,0.0112,0.0,0.0
64,3,0.9647,1.0,0.0353,0.0,0.0,0.0
65,3,0.9635,1.0,0.0365,0.0,0.0,0.0
66,3,0.9531,1.0,0.0353,0.0116,0.0,0.0
67,3,0.9702,1.0,0.0298,0.0,0.0,0.0
68,3,0.9675,1.0,0.0325,0.0,0.0,0.0
69,3,0.9528,1.0,0.0361,0.0111,0.0,0.0
70,3,0.9675,1.0,0.0325,0.0,0.0,0.0
71,3,0.9692,1.0,0.0308,0.0,0.0,0.0
72,3,0.9571,0.9999999999999999,0.0296,0.0133,0.0,0.0
73,3,0.9714,1.0,0.0286,0.0,0.0,0.0
74,3,0.9682,1.0,0.0318,0.0,0.0,0.0
75,3,0.9536,1.0,0.0346,0.0118,0.0,0.0
76,3,0.9653,1.0,0.0347,0.0,0.0,0.0
77,3,0.9688,1.0,0.0312,0.0,0.0,0.0
78,3,0.9609,1.0,0.0285,0.0106,0.0,0.0
79,3,0.9697,1.0,0.0303,0.0,0.0,0.0
80,3,0.9681,1.0,0.0319,0.0,0.0,0.0
81,3,0.9609,1.0,0.0295,0.0096,0.0,0.0
82,3,0.9669,1.0,0.0331,0.0,0.0,0.0
83,3,0.9694,1.0,0.0306,0.0,0.0,0.0
84,3,0.9589,1.0,0.0318,0.0093,0.0,0.0
85,3,0.9727,1.0,0.0273,0.0,0.0,0.0
86,3,0.9696,1.0,0.0304,0.0,0.0,0.0
87,3,0.96,1.0,0.0318,0.0082,0.0,0.0
88,3,0.9729,1.0,0.0271,0.0,0.0,0.0
89,3,0.9682,1.0,0.0318,0.0,0.0,0.0
90,3,0.9596,1.0,0.0304,0.01,0.0,0.0
91,3,0.973,1.0,0.027,0.0,0.0,0.0
92,3,0.9709,1.0,0.0291,0.0,0.0,0.0
93,3,0.959,1.0,0.0324,0.0086,0.0,0.0
94,3,0.9707,1.0,0.0293,0.0,0.0,0.0
95,3,0.9735,1.0,0.0265,0.0,0.0,0.0
96,3,0.9588,1.0,0.0314,0.0098,0.0,0.0
97,3,0.9718,1.0,0.0282,0.0,0.0,0.0
98,3,0.9717,1.0,0.0283,0.0,0.0,0.0
99,3,0.9617,1.0,0.0296,0.0087,0.0,0.0
100,3,0.9708,1.0,0.0292,0.0,0.0,0.0
5,4,1.0,1.0,0.0,0.0,0.0,0.0
6,4,0.7556,1.0,0.1568,0.0876,0.0,0.0
7,4,0.9223,1.0,0.0777,0.0,0.0,0.0
8,4,0.8541,1.0,0.1074,0.0,0.0385,0.0
9,4,0.9064,0.9999999999999999,0.068,0.0256,0.0,0.0
10,4,0.901,1.0,0.099,0.0,0.0,0.0
11,4,0.8872,1.0,0.1128,0.0,0.0,0.0
12,4,0.8696,1.0,0.0991,0.0085,0.0228,0.0
13,4,0.9153,1.0,0.0666,0.0181,0.0,0.0
14,4,0.9088,1.0,0.0912,0.0,0.0,0.0
